https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,vwap,Volume XRP,Volume USD,tradecount
442672,1598400000,2020-08-26 00:00:00,XRP/USD,0.27634,0.28097,0.27422,0.27649,0.27767,10883954.07585715,3009304.4624337433,2906
442671,1598313600,2020-08-25 00:00:00,XRP/USD,0.28870,0.28971,0.27035,0.27653,0.27854,14432030.04724549,3990889.2689647954,4464
442670,1598227200,2020-08-24 00:00:00,XRP/USD,0.28476,0.29200,0.28238,0.28870,0.28822,8457105.16421070,2441566.260907629,2353
442669,1598140800,2020-08-23 00:00:00,XRP/USD,0.28614,0.28811,0.27773,0.28493,0.28306,7796220.97630393,2221377.242778279,2157
442668,1598054400,2020-08-22 00:00:00,XRP/USD,0.27917,0.28677,0.27317,0.28615,0.27909,12408053.37021573,3550564.4718872313,3480
442667,1597968000,2020-08-21 00:00:00,XRP/USD,0.29245,0.29577,0.27752,0.27921,0.28557,19072592.91070498,5325258.666597938,5454
442666,1597881600,2020-08-20 00:00:00,XRP/USD,0.29003,0.29500,0.28482,0.29246,0.29086,11123938.58886419,3253307.079699221,3630
442665,1597795200,2020-08-19 00:00:00,XRP/USD,0.30292,0.30603,0.27890,0.28992,0.29130,26001837.85269985,7538452.830254741,7739
442664,1597708800,2020-08-18 00:00:00,XRP/USD,0.31548,0.32168,0.29810,0.30292,0.30872,28744855.55460794,8707391.644601837,7340
442663,1597622400,2020-08-17 00:00:00,XRP/USD,0.30480,0.32757,0.29734,0.31550,0.31518,41243327.70553277,13012269.891095588,10219
442662,1597536000,2020-08-16 00:00:00,XRP/USD,0.29891,0.30480,0.29200,0.30467,0.29861,22590331.96328270,6882596.4392533405,4340
442661,1597449600,2020-08-15 00:00:00,XRP/USD,0.30056,0.30548,0.29061,0.29891,0.29986,22403158.16631552,6696528.007493372,5473
442660,1597363200,2020-08-14 00:00:00,XRP/USD,0.29491,0.30740,0.29018,0.30032,0.29925,36410167.71418216,10934701.567923186,8230
442659,1597276800,2020-08-13 00:00:00,XRP/USD,0.28235,0.29570,0.27282,0.29507,0.28327,28759126.28380307,8485955.392561773,7071
442658,1597190400,2020-08-12 00:00:00,XRP/USD,0.28292,0.28755,0.27205,0.28233,0.28142,20407156.33570051,5761552.448258325,5957
442657,1597104000,2020-08-11 00:00:00,XRP/USD,0.29474,0.30749,0.26784,0.28292,0.29008,40399350.14294654,11429784.142442435,10525
442656,1597017600,2020-08-10 00:00:00,XRP/USD,0.28806,0.30076,0.28475,0.29474,0.29482,22244782.37316035,6556427.156665282,6097
442655,1596931200,2020-08-09 00:00:00,XRP/USD,0.29545,0.29845,0.28219,0.28794,0.28958,18179513.62785801,5234609.154005434,4620
442654,1596844800,2020-08-08 00:00:00,XRP/USD,0.29471,0.29913,0.29057,0.29568,0.29461,13799459.83293377,4080224.283401857,4246
442653,1596758400,2020-08-07 00:00:00,XRP/USD,0.30338,0.31049,0.27810,0.29470,0.29590,33950956.21413425,10005346.796305366,9158
442652,1596672000,2020-08-06 00:00:00,XRP/USD,0.30276,0.31141,0.29738,0.30340,0.30409,19144999.61476103,5808592.883118496,6213
442651,1596585600,2020-08-05 00:00:00,XRP/USD,0.30195,0.30877,0.29118,0.30276,0.30112,27667579.91495712,8376636.495052417,7934
442650,1596499200,2020-08-04 00:00:00,XRP/USD,0.31030,0.31945,0.29121,0.30157,0.30477,38612557.64818380,11644389.00996279,10468
442649,1596412800,2020-08-03 00:00:00,XRP/USD,0.28871,0.32000,0.28411,0.31029,0.30823,54090485.57645157,16783736.769517157,14018
442648,1596326400,2020-08-02 00:00:00,XRP/USD,0.29124,0.32620,0.24000,0.28798,0.29253,98293132.25772780,28306456.227580454,23095
442647,1596240000,2020-08-01 00:00:00,XRP/USD,0.25991,0.29815,0.25611,0.29142,0.27945,62184183.44973152,18121714.74092076,14013
442646,1596153600,2020-07-31 00:00:00,XRP/USD,0.24451,0.26125,0.24211,0.26013,0.25016,24985822.81689081,6499562.089357805,5684
442645,1596067200,2020-07-30 00:00:00,XRP/USD,0.24350,0.24977,0.23500,0.24458,0.24352,19951842.47250018,4879821.631924094,5141
442644,1595980800,2020-07-29 00:00:00,XRP/USD,0.23082,0.25000,0.22990,0.24342,0.24156,28536072.78162337,6946250.836502761,7397
442643,1595894400,2020-07-28 00:00:00,XRP/USD,0.22473,0.23500,0.21720,0.23086,0.22626,19955499.71334262,4606926.663822277,5237
